,empty_slots,free_bikes,latitude,longitude
0,3,31,49.262487,-123.114397
1,1,15,49.274566,-123.121817
2,5,20,49.279764,-123.110154
3,10,6,49.260599,-123.113504
4,4,11,49.264215,-123.117772
5,2,11,49.270877,-123.115103
6,2,12,49.26893,-123.11813
7,0,20,49.271721,-123.104207
8,13,13,49.287214,-123.11287
9,15,4,49.282409,-123.118541
10,5,20,49.287097,-123.118551
11,8,14,49.273471,-123.118016
12,2,28,49.282758,-123.122092
13,15,7,49.28602,-123.116624
14,14,6,49.279739,-123.116251
15,11,3,49.275679,-123.116963
16,14,8,49.282759,-123.106955
17,1,17,49.288444,-123.139203
18,0,14,49.289124,-123.12196
19,16,2,49.28062,-123.12482
20,9,6,49.279938,-123.127478
21,3,11,49.273663,-123.127075
22,8,5,49.28972,-123.144028
23,9,3,49.285253,-123.134356
24,17,5,49.283343,-123.131099
25,18,14,49.284605,-123.108662
26,13,15,49.279821,-123.10802
27,2,14,49.278004,-123.105664
28,5,9,49.279342,-123.101822
29,12,14,49.273833,-123.114373
30,26,0,49.28526,-123.141809
31,22,4,49.281506,-123.120101
32,3,11,49.276115,-123.114496
33,0,21,49.272827,-123.147744
34,18,10,49.269361,-123.13782
35,10,4,49.2653,-123.13811
36,13,1,49.262598,-123.138921
37,12,1,49.25894,-123.139272
38,13,1,49.258763,-123.115392
39,7,13,49.266724,-123.104824
40,15,3,49.262141,-123.101961
41,4,13,49.268269,-123.147885
42,15,13,49.275717,-123.142564
43,18,2,49.276436,-123.11877
44,13,4,49.277844,-123.120942
45,6,9,49.265089,-123.119425
46,8,12,49.28026,-123.135244
47,1,17,49.291909,-123.140713
48,0,16,49.293257,-123.138563
49,15,3,49.288011,-123.132006
50,2,15,49.28117,-123.104419
51,16,12,49.283227,-123.120523
52,9,7,49.299292,-123.130281
53,1,14,49.29534,-123.150433
54,0,18,49.294318,-123.148808
55,17,3,49.298657,-123.121176
56,11,5,49.259183,-123.120126
57,15,0,49.263837,-123.105173
58,3,23,49.270721,-123.146175
59,13,2,49.265605,-123.152566
60,6,9,49.267222,-123.153157
61,25,1,49.262255,-123.126217
62,20,20,49.257654,-123.153212
63,7,5,49.25919,-123.148268
64,6,6,49.25741,-123.148531
65,10,1,49.285953,-123.124066
66,6,10,49.280881,-123.130672
67,10,2,49.256845,-123.120071
68,13,0,49.25849,-123.104799
69,13,1,49.258425,-123.100792
70,7,11,49.270905,-123.126006
71,10,8,49.273568,-123.129935
72,5,6,49.277141,-123.122589
73,4,12,49.267859,-123.145782
74,8,8,49.265336,-123.145823
75,1,13,49.267628,-123.127698
76,6,10,49.275938,-123.145939
77,9,10,49.2756,-123.102661
78,14,6,49.284157,-123.099917
79,15,5,49.258924,-123.152591
80,0,16,49.266774,-123.141135
81,16,20,49.273355,-123.154493
82,16,14,49.276144,-123.151272
83,10,7,49.268339,-123.157443
84,5,9,49.284062,-123.095097
85,9,4,49.261742,-123.13148
86,3,11,49.262206,-123.109091
87,1,27,49.27023,-123.10651
88,19,0,49.262062,-123.104656
89,3,15,49.27033,-123.10275
90,14,0,49.258902,-123.109596
91,10,4,49.265071,-123.123864
92,10,6,49.265198,-123.131043
93,4,12,49.273691,-123.102232
94,14,6,49.2685027,-123.0975014
95,5,9,49.288682,-123.11818
96,13,5,49.271741,-123.155421
97,11,9,49.262822,-123.14338
98,6,6,49.263635,-123.099236
99,12,7,49.28763,-123.127245
100,4,16,49.297933,-123.130758
101,6,8,49.258819,-123.131317
102,8,6,49.280284,-123.097052
103,2,16,49.276294,-123.106534
104,3,11,49.277469,-123.081315
105,11,10,49.277665,-123.073653
106,11,5,49.277436,-123.070427
107,6,10,49.280332,-123.070068
108,5,9,49.279369,-123.091241
109,14,6,49.283992,-123.091206
110,10,4,49.274881,-123.069323
111,8,6,49.275882,-123.071865
112,5,9,49.273777,-123.092723
113,3,24,49.265005,-123.079481
114,14,0,49.271377,-123.069416
115,18,4,49.268616,-123.069908
116,11,3,49.266969,-123.069936
117,12,8,49.263242,-123.070521
118,17,8,49.261403,-123.070102
119,11,3,49.261263,-123.073707
120,12,6,49.262242,-123.081459
121,8,6,49.262321,-123.09306
122,2,10,49.264251,-123.073853
123,3,11,49.266751,-123.073501
124,5,7,49.270684,-123.073562
125,12,2,49.2731,-123.0732
126,13,2,49.254667,-123.101389
127,13,1,49.256694,-123.096579
128,13,1,49.258352,-123.096337
129,13,3,49.258817,-123.092797
130,13,1,49.26151,-123.089413
131,15,1,49.263382,-123.088837
132,11,1,49.261353,-123.085333
133,12,8,49.264466,-123.085183
134,12,4,49.280197,-123.065859
135,13,3,49.266725,-123.065925
136,10,2,49.261188,-123.066009
137,12,6,49.256857,-123.065646
138,14,4,49.283986,-123.065264
139,11,3,49.257985,-123.083366
140,13,3,49.257939,-123.089531
141,3,11,49.256496,-123.075426
142,5,11,49.283236,-123.070443
143,15,1,49.267266,-123.090786
144,12,4,49.265242,-123.095577
145,6,10,49.265213,-123.090785
146,17,21,49.302577,-123.155616
147,5,11,49.277595,-123.09583
148,6,10,49.279235,-123.087528
149,5,11,49.277333,-123.087359
150,21,1,49.273103,-123.069892
151,18,2,49.261973,-123.09725
152,6,16,49.275295,-123.132585
153,7,21,49.285871,-123.12105
154,13,0,49.284893,-123.128685
155,12,10,49.263962,-123.112621
156,4,8,49.277615,-123.091654
157,12,10,49.282214,-123.114101
158,3,17,49.266456,-123.100324
159,11,10,49.268216,-123.103168
160,4,12,49.284554,-123.111031
161,18,1,49.280216,-123.117639
162,5,21,49.266314,-123.116011
163,10,4,49.280852,-123.084746
164,5,12,49.285512,-123.1384
165,10,30,49.27821,-123.136972
166,16,6,49.281301,-123.139108
167,6,16,49.283298,-123.142288
168,10,8,49.280787,-123.115271
169,3,15,49.266476,-123.109389
170,9,11,49.290587,-123.13625
171,14,4,49.262835,-123.152626
172,11,2,49.256825,-123.105234
173,11,3,49.275683,-123.124388
174,15,3,49.263518,-123.09568
175,4,16,49.28691,-123.128818
176,13,4,49.282503,-123.124697
177,6,10,49.283749,-123.136133
178,14,0,49.262944,-123.148109
179,21,11,49.27029,-123.135025
180,3,13,49.280427,-123.074082
181,14,4,49.279259,-123.119145
182,25,1,49.285836,-123.127265
183,15,5,49.272969,-123.164325
184,11,12,49.27247,-123.185643
185,4,10,49.271471,-123.17731
186,8,16,49.290112,-123.127062
187,16,1,49.263523,-123.155267
188,5,17,49.264928,-123.168068
189,0,17,49.264483,-123.173926
190,9,17,49.264579,-123.18373
191,10,6,49.263746,-123.069892
192,12,2,49.258761,-123.127071
193,6,12,49.268974,-123.190701
194,7,13,49.273011,-123.159663
195,1,15,49.266924,-123.173849
196,5,9,49.264326,-123.164725
197,6,9,49.266636,-123.183661
198,21,3,49.254818,-123.114785
199,12,11,49.268837,-123.177633
200,12,4,49.255034,-123.120226
201,9,7,49.271044,-123.170661
202,12,3,49.252691,-123.101289
203,10,8,49.272172,-123.097978
204,17,15,49.271082,-123.191458
205,12,12,49.27808,-123.130557
206,5,19,49.269969,-123.109623
207,10,20,49.287528,-123.142139
208,15,11,49.28803,-123.142135
209,7,7,49.259579,-123.114769
210,8,8,49.2890705989865,-123.138407369468
211,6,8,49.287782,-123.12395
212,15,4,49.28512,-123.11242
213,11,5,49.247854,-123.153422
214,5,12,49.265939,-123.1129
215,15,0,49.261122,-123.097571
216,4,14,49.267725,-123.11311
217,14,6,49.245135,-123.116098
218,2,11,49.274232,-123.129998
219,16,3,49.238105,-123.154966
220,18,1,49.246243,-123.124373
221,8,4,49.249722,-123.104991
222,19,3,49.243375,-123.104978
223,10,10,49.282087,-123.056909
224,12,4,49.283968,-123.061615
225,8,10,49.287464,-123.060771
226,15,2,49.285575,-123.061575
227,11,3,49.251358,-123.115637
228,3,13,49.249184,-123.116141
229,21,1,49.245535,-123.120496
230,3,23,49.289255,-123.132677
231,14,6,49.252656,-123.067965
232,6,12,49.259469,-123.145718
233,14,10,49.277178,-123.13
234,0,20,49.291597,-123.129158
235,16,6,49.247204,-123.101549
236,10,6,49.2856698,-123.1125432
237,12,2,49.25094,-123.101306
238,9,11,49.270783,-123.141564
239,10,12,49.264019,-123.209176
240,12,8,49.2658,-123.20596
241,5,15,49.265442,-123.187738
242,14,7,49.267561,-123.252261
243,14,14,49.2665793,-123.2485487
244,17,7,49.26262,-123.2431
245,0,0,49.278529,-123.100017
246,14,6,49.282047,-123.133057
247,13,7,49.277773,-123.114237
